Cluster 	Subclusters 	Members 	Avg Length (bp) 	Avg GC% 	Life Cycle 	Genera
DX 	-- 	2 	135,846 	65.0 	Unknown 	Gordonia
DY 	-- 	7 	40,289 	67.4 	Unknown 	Gordonia
DZ 	-- 	5 	86,893 	67.6 	Unknown 	Gordonia
E 	-- 	130 	75,493 	63.0 	Temperate 	Mycobacterium
EA 	11 	186 	41,205 	63.4 	Lytic 	Microbacterium
EB 	-- 	70 	40,999 	67.3 	Lytic 	Curtobacterium,Microbacterium
EC 	-- 	43 	53,433 	68.8 	Lytic 	Microbacterium
ED 	2 	25 	63,270 	62.8 	Lytic 	Microbacterium
EE 	-- 	131 	17,371 	68.7 	Lytic 	Microbacterium
EF 	-- 	37 	56,475 	63.6 	Lytic 	Microbacterium
EG 	-- 	52 	62,208 	67.1 	Lytic 	Microbacterium
EH 	-- 	13 	47,802 	70.0 	Temperate 	Microbacterium
EI 	-- 	7 	55,343 	70.1 	Unknown 	Microbacterium
EJ 	-- 	15 	42,261 	66.2 	Unknown 	Microbacterium
EK 	2 	48 	54,204 	59.4 	Unknown 	Microbacterium
EL 	-- 	4 	61,078 	55.2 	Unknown 	Microbacterium
EM 	2 	10 	53,886 	63.8 	Unknown 	Arthrobacter,Microbacterium
EN 	-- 	8 	66,878 	52.3 	Lytic 	Corynebacterium
EO 	-- 	4 	40,482 	60.0 	Unknown 	Corynebacterium
EP 	-- 	8 	44,554 	67.9 	Unknown 	Corynebacterium
F 	6 	239 	57,341 	61.5 	Temperate 	Mycobacterium
FA 	-- 	12 	42,687 	65.2 	Temperate 	Arthrobacter
FB 	-- 	5 	38,383 	62.6 	Unknown 	Arthrobacter
FC 	-- 	8 	194,148 	53.5 	Lytic 	Arthrobacter
FD 	-- 	5 	20,008 	59.3 	Lytic 	Arthrobacter
FE 	-- 	9 	15,532 	65.5 	Lytic 	Arthrobacter
FF 	-- 	7 	42,541 	65.0 	Temperate 	Arthrobacter
FG 	-- 	2 	60,639 	66.9 	Temperate 	Arthrobacter
FH 	-- 	7 	49,540 	69.8 	Unknown 	Arthrobacter
FI 	-- 	3 	58,573 	48.1 	Unknown 	Arthrobacter
FJ 	-- 	2 	46,102 	64.5 	Unknown 	Arthrobacter
FK 	-- 	3 	113,449 	47.6 	Unknown 	Arthrobacter
FL 	-- 	3 	48,704 	65.9 	Unknown 	Arthrobacter
FM 	-- 	2 	63,547 	65.2 	Unknown 	Arthrobacter
FN 	-- 	3 	51,507 	62.9 	Unknown 	Arthrobacter
FO 	-- 	5 	36,624 	67.1 	Unknown 	Arthrobacter
FP 	-- 	2 	40,826 	66.0 	Unknown 	Arthrobacter
FQ 	-- 	2 	42,078 	59.5 	Unknown 	Arthrobacter
G 	5 	72 	42,350 	66.9 	Temperate 	Mycobacterium
GA 	-- 	9 	38,806 	67.9 	Unknown 	Microbacterium
GB 	-- 	5 	61,232 	58.1 	Unknown 	Microbacterium
GC 	-- 	4 	96,403 	66.7 	Unknown 	Microbacterium
GD 	4 	6 	190,732 	58.8 	Unknown 	Microbacterium
GE 	-- 	6 	15,498 	54.9 	Unknown 	Microbacterium
GF 	-- 	4 	39,655 	69.8 	Unknown 	Microbacterium
GG 	-- 	2 	67,653 	58.4 	Unknown 	Microbacterium
GH 	-- 	3 	17,340 	68.2 	Unknown 	Microbacterium
GI 	-- 	3 	16,586 	52.6 	Unknown 	Microbacterium
GJ 	-- 	3 	33,286 	68.7 	Unknown 	Microbacterium
H 	2 	12 	69,127 	57.3 	Lytic 	Mycobacterium
HA 	-- 	7 	55,871 	59.7 	Unknown 	Curtobacterium
HB 	-- 	8 	18,234 	55.5 	Unknown 	Curtobacterium
I 	2 	7 	50,320 	66.4 	Temperate 	Mycobacterium
J 	-- 	43 	111,094 	60.9 	Temperate 	Mycobacterium
K 	8 	187 	59,993 	66.8 	Temperate 	Mycobacterium
L 	5 	89 	74,533 	58.8 	Temperate 	Mycobacterium
M 	3 	20 	81,622 	61.3 	Temperate 	Mycobacterium
N 	-- 	44 	42,933 	66.2 	Temperate 	Mycobacterium
O 	-- 	29 	71,115 	65.4 	Lytic 	Mycobacterium
P 	6 	49 	47,839 	67.0 	Temperate 	Mycobacterium
Q 	-- 	22 	53,835 	67.4 	Temperate 	Mycobacterium
R 	-- 	10 	71,339 	56.0 	Lytic 	Mycobacterium
S 	-- 	19 	64,972 	63.4 	Lytic 	Mycobacterium
Singleton 	-- 	69 	59,916 	64.5 	Unknown 	Actinoplanes,Arthrobacter,Brevibacterium,Corynebacterium,Curtobacterium,Gordonia,Microbacterium,Mycobacterium,Rhodococcus,Rothia,Streptomyces,Tetrasphaera,Tsukamurella
T 	-- 	7 	42,746 	66.2 	Temperate 	Mycobacterium
U 	-- 	3 	66,864 	50.4 	Lytic 	Mycobacterium
V 	-- 	5 	77,907 	56.9 	Lytic 	Mycobacterium
W 	-- 	6 	61,013 	67.5 	Lytic 	Mycobacterium
X 	-- 	2 	88,037 	56.7 	Temperate 	Mycobacterium
Y 	-- 	5 	76,606 	66.5 	Temperate 	Mycobacterium
Z 	-- 	2 	50,807 	66.0 	Temperate 	Mycobacterium
